"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Collection","Buying price (GBP)","Estimate (GBP)","Private comment","Public comment"
"Albania","Albania","New lek (1965-date)","1","KM# 75","N# 6530","1 Lek","Standard circulation coin","1996","Round","Bronze","3","18.1","1996","1996","","Non-magnetic","1","","","","0.04","","Ebay B January 20",""
"Algeria","Algeria","Franc (1848-1959)","20","KM# 91","N# 797","20 Francs","Standard circulation coin","1949-1956","Round","Copper-nickel (75% Copper, 25% Nickel)","5.45","23.2","1949","1949","","Lec# 48 (wing)","1","","","","","","Wayne February 20",""
"Algeria","Algeria","Dinar (1964-date)","1","KM# 104.1","N# 1753","1 Dinar (FAO)","Circulating commemorative coin","1972","Round","Copper-nickel","7","25","1972","1972","","KM# 104.2; Stuttgart Mint","1","","","","0.08","","Norwich M November 19","ALG-01 a"
"Algeria","Algeria","Dinar (1964-date)","10","KM# 110","N# 1748","10 Dinars","Standard circulation coin","1979-1981","Decagonal (10-sided)","Aluminium-bronze","11.37","29.3","1979","1979","","Llantrisant mint (UK)","1","","","","0.35","","Ebay December 19","x"
"Argentina","Argentina","Peso moneda nacional (1881-1969)","0.02","KM# 33","N# 2220","2 Centavos","Standard circulation coin","1882-1896","Round","Bronze","10","30","1891","1891","","","1","","","","","","Ebay July 19","ARG-01 a"
"Argentina","Argentina","Peso moneda nacional (1881-1969)","0.02","KM# 33","N# 2220","2 Centavos","Standard circulation coin","1882-1896","Round","Bronze","10","30","1891","1891","","","1","","","","0.1","","Norwich E February 22",""
"Argentina","Argentina","Peso moneda nacional (1881-1969)","0.05","KM# 46","N# 3242","5 Centavos (reeded edge)","Standard circulation coin","1951-1953","Round","Copper-nickel","2","17.2","1952","1952","","","1","","","","","","Wayne December 19",""
"Argentina","Argentina","Peso moneda nacional (1881-1969)","0.1","KM# 44","N# 3249","10 Centavos (José de San Martin)","Circulating commemorative coin","1950","Round","Copper-nickel","3","19","1950","1950","","","1","","","","0.08","","Norwich M August 19","ARG-05"
"Argentina","Argentina","Peso moneda nacional (1881-1969)","0.2","KM# 55","N# 3254","20 Centavos","Standard circulation coin","1957-1961","Round","Nickel plated steel","4","21","1957","1957","","","1","","","","0.39","","Ebay July 19","ARG-03 a"
"Argentina","Argentina","Peso moneda nacional (1881-1969)","0.5","KM# 49","N# 3258","50 Centavos","Standard circulation coin","1952-1956","Round","Nickel clad steel","5","23","1954","1954","","CJ#225","1","","","","0.39","","Ebay July 19","ARG-04 a"
"Argentina","Argentina","Peso moneda nacional (1881-1969)","1","KM# 57","N# 2818","1 Peso","Standard circulation coin","1957-1962","Round","Nickel clad steel","6.5","26","1957","1957","","Long shoots CJ# 252.1","1","","","","0.25","","Norwich G August 20",""
"Argentina","Argentina","Peso convertible (1992-date)","0.01","KM# 113a","N# 8208","1 Centavo","Standard circulation coin","1993-2000","Round","Bronze (Cu 97 Sn 0.5 Zn 2.5)","2","16.2","1998","1998","","CJ# 1.4 Casa de Moneda Buenos Aires","1","","","","0.25","","Norwich July 19","ARG-02 a"
"Argentina","Argentina","Peso convertible (1992-date)","0.05","KM# 109b","N# 21116","5 Centavos (smooth edge)","Standard circulation coin","2006-2011","Round","Brass plated steel","2","17.2","2009","2009","","","1","","","","0.04","","Ebay B January 20",""
"Argentina","Argentina","Peso convertible (1992-date)","0.1","KM# 107","N# 2214","10 Centavos (reeded edge; non-magnetic)","Standard circulation coin","1992-2006","Round","Aluminium-bronze","2.25","18.2","1992","1992","","24 reeds; 19 sunrays (Santiago de Chile Mint)","1","","","","0.04","","Ebay B January 20",""
"Argentina","Argentina","Peso convertible (1992-date)","0.5","KM# 111","N# 2297","50 Centavos","Standard circulation coin","1992-2010","Round","Aluminium-bronze","5.8","25.2","2009","2009","","KM#111.2 (bold letters)","1","","","","0.04","","Ebay B January 20",""
"Argentina","Argentina","Peso convertible (1992-date)","1","KM# 112","N# 2217","1 Peso","Standard circulation coin","1994-2016","Round","Bimetallic: copper-aluminium-nickel centre in copper-nickel ring (Cu 92 Al 6 Ni 2 - Cu 75 Ni 25)","6.4","23","1996","1996","A","KM#112.1; CJ#6.3.1","1","","","","0.04","","Ebay B January 20",""
"Argentina","Buenos Aires","Real (1822-1861)","0.1","KM# 1","N# 4089","1 Decimo Real","Standard circulation coin","1822-1823","Round","Copper","6.8","23.6","1823","1823","","CJ# 2.1 Reverse Coin","1","","","","0.1","","Norwich E December 19",""
"Armenia","Armenia","Dram (1993-date)","0.1","KM# 51","N# 3151","10 Luma","Standard circulation coin","1994","Round","Aluminium","0.6","16","1994","1994","","","1","","","","0.1","","Norwich E October 19","ARM-02 a"
"Armenia","Armenia","Dram (1993-date)","0.2","KM# 52","N# 3177","20 Luma","Standard circulation coin","1994","Round","Aluminium","0.75","18","1994","1994","","","1","","","","0.1","","Norwich E September 19","ARM-01 a"
"Aruba","Aruba","Florin (1986-date)","5","KM# 38","N# 9341","5 Florin - Beatrix (non-magnetic)","Standard circulation coin","2005-2013","Round","Aluminium-bronze","8.4","23.45","2005","2005","","sails","1","","","","0.05","","Ebay December 19","x"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1916","1916","I","Calcutta Mint","1","","","","","","Cape Town 18 B","AUS-01 a"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1922","1922","","Sydney Mint","1","","","","0.5","","Norwich July 19","AUS-12 a"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1922","1922","","Sydney Mint","1","","","","0.99","","Ebay September 19","AUS-23 a"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1931","1931","","Melbourne Mint","1","","","","0.5","","Norwich July 19","AUS-13 a"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1935","1935","","Melbourne Mint","1","","","","0.5","","Norwich July 19","AUS-14 a"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 22","N# 1564","½ Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","5.67","25.5","1936","1936","","Melbourne Mint","1","","","","0.5","","Norwich July 19","AUS-15 a"
